chargeback_id,payment_id,amount,created_at,settlement_id
cb_00001,pay_000056,57817.00,2026-08-13T10:28:00,setl_20260813_042
cb_00002,pay_000230,4306.50,2026-08-07T12:52:00,setl_20260807_036
cb_00003,pay_000277,1460.50,2026-07-17T13:53:00,setl_20260717_015
cb_00004,pay_000305,1789.00,2026-08-26T17:54:00,
cb_00005,pay_000329,4981.00,2026-08-01T12:35:00,setl_20260803_030
cb_00006,pay_000455,431.00,2026-08-06T13:11:00,setl_20260806_035
cb_00007,pay_000468,1851.00,2026-08-12T08:13:00,setl_20260812_039
cb_00008,pay_000513,38042.00,2026-08-24T09:17:00,
cb_00009,pay_000775,23797.50,2026-08-24T19:17:00,
cb_00010,pay_000793,644.99,2026-09-09T02:27:00,
cb_00011,pay_000796,563.00,2026-08-22T01:33:00,
cb_00012,pay_000819,11463.00,2026-09-09T00:40:00,
cb_00013,pay_000933,2188.99,2026-08-21T12:43:00,
