payment_id,order_id,captured_at,amount,method,fee,tax_on_fee,status,settlement_id
pay_000001,ord_000047,2026-07-02T07:26:00,812.00,upi,0.00,0.00,captured,setl_20260706_002
pay_000002,ord_000055,2026-07-01T22:23:00,1310.00,upi,0.00,0.00,captured,setl_20260703_001
pay_000003,ord_000105,2026-07-02T15:18:00,61280.00,netbanking,1103.04,198.55,captured,setl_20260706_002
pay_000004,ord_000150,2026-07-01T21:16:00,272.99,card,5.46,0.98,captured,setl_20260703_001
pay_000005,ord_000163,2026-07-02T12:05:00,1927.00,upi,0.00,0.00,captured,setl_20260706_002
pay_000006,ord_000181,2026-07-01T11:24:00,1909.99,card,38.20,6.88,captured,setl_20260703_001
pay_000007,ord_000181,2026-07-01T18:37:00,1909.99,netbanking,34.38,6.19,captured,setl_20260703_001
pay_000008,ord_000309,2026-07-01T17:15:00,2738.00,card,54.76,9.86,captured,setl_20260703_001
pay_000009,ord_000358,2026-07-02T07:53:00,716.00,netbanking,12.89,2.32,captured,setl_20260706_002
pay_000010,ord_000370,2026-07-02T12:10:00,1819.50,upi,0.00,0.00,captured,setl_20260706_002
pay_000011,ord_000501,2026-07-02T08:45:00,11448.00,wallet,228.96,41.21,captured,setl_20260706_002
pay_000012,ord_000580,2026-07-02T01:17:00,8969.99,netbanking,161.46,29.06,captured,setl_20260706_002
pay_000013,ord_000626,2026-07-01T13:44:00,1455.00,upi,0.00,0.00,captured,setl_20260703_001
pay_000014,ord_000641,2026-07-02T03:27:00,5590.00,upi,0.00,0.00,captured,setl_20260706_002
pay_000015,ord_000672,2026-07-01T22:50:00,2009.00,upi,0.00,0.00,captured,setl_20260703_001
pay_000016,ord_000766,2026-07-02T12:09:00,647.00,card,12.94,2.33,captured,setl_20260706_002
pay_000017,ord_000808,2026-07-01T14:49:00,11391.99,wallet,227.84,41.01,captured,setl_20260703_001
pay_000018,ord_000819,2026-07-01T13:37:00,1527.00,card,30.54,5.50,captured,setl_20260703_001
pay_000019,ord_000907,2026-07-01T14:58:00,1943.00,card,38.86,6.99,captured,setl_20260703_001
pay_000020,ord_000916,2026-07-02T10:53:00,1243.00,upi,0.00,0.00,captured,setl_20260706_002
pay_000021,ord_000938,2026-07-02T03:46:00,2475.00,netbanking,44.55,8.02,captured,setl_20260706_002
pay_000022,ord_000968,2026-07-01T18:06:00,294.00,upi,0.00,0.00,captured,setl_20260703_001
pay_000023,ord_000987,2026-07-01T20:33:00,55500.99,card,1110.02,199.80,captured,setl_20260703_001
pay_000024,ord_000004,2026-07-02T22:49:00,258.00,card,5.16,0.93,captured,setl_20260706_002
pay_000025,ord_000065,2026-07-02T14:39:00,46584.99,upi,0.00,0.00,captured,setl_20260706_002
pay_000026,ord_000069,2026-07-02T16:12:00,786.00,card,15.72,2.83,captured,setl_20260706_002
pay_000027,ord_000072,2026-07-03T00:37:00,1494.99,upi,0.00,0.00,captured,setl_20260707_003
pay_000028,ord_000143,2026-07-03T05:38:00,6065.99,upi,0.00,0.00,captured,setl_20260707_003
pay_000029,ord_000265,2026-07-03T10:57:00,8082.00,upi,0.00,0.00,captured,setl_20260707_003
pay_000030,ord_000266,2026-07-03T15:21:00,11207.00,upi,0.00,0.00,captured,setl_20260707_003
pay_000031,ord_000364,2026-07-03T02:27:00,10226.00,upi,0.00,0.00,captured,setl_20260707_003
pay_000032,ord_000412,2026-07-03T10:32:00,3534.50,netbanking,63.62,11.45,captured,setl_20260707_003
pay_000033,ord_000515,2026-07-03T07:05:00,2105.99,card,42.12,7.58,captured,setl_20260707_003
pay_000034,ord_000522,2026-07-03T09:30:00,1726.00,netbanking,31.07,5.59,captured,setl_20260707_003
pay_000035,ord_000534,2026-07-03T14:55:00,1761.00,upi,0.00,0.00,captured,setl_20260707_003
pay_000036,ord_000559,2026-07-02T13:38:00,47217.00,card,944.34,169.98,captured,setl_20260706_002
pay_000037,ord_000598,2026-07-03T14:18:00,605.99,wallet,12.12,2.18,captured,setl_20260707_003
pay_000038,ord_000599,2026-07-02T17:07:00,1971.00,card,39.42,7.10,captured,setl_20260706_002
pay_000039,ord_000607,2026-07-02T18:17:00,2024.00,card,40.48,7.29,captured,setl_20260706_002
pay_000040,ord_000608,2026-07-02T17:28:00,772.00,upi,0.00,0.00,captured,setl_20260706_002
pay_000041,ord_000615,2026-07-02T10:43:00,10331.00,upi,0.00,0.00,captured,setl_20260706_002
pay_000042,ord_000633,2026-07-03T08:23:00,43230.00,card,864.60,155.63,captured,setl_20260707_003
pay_000043,ord_000653,2026-07-02T18:58:00,1640.00,card,32.80,5.90,captured,setl_20260706_002
pay_000044,ord_000698,2026-07-02T21:39:00,10396.00,upi,0.00,0.00,captured,setl_20260706_002
pay_000045,ord_000719,2026-07-02T16:46:00,2277.50,upi,0.00,0.00,captured,setl_20260706_002
pay_000046,ord_000763,2026-07-02T19:22:00,14577.00,card,291.54,52.48,captured,setl_20260706_002
pay_000047,ord_000822,2026-07-03T09:51:00,1281.00,card,25.62,4.61,captured,setl_20260707_003
pay_000048,ord_000862,2026-07-03T12:51:00,1907.00,card,38.14,6.87,captured,setl_20260707_003
pay_000049,ord_000873,2026-07-02T12:20:00,1730.00,card,34.60,6.23,captured,setl_20260706_002
pay_000050,ord_000887,2026-07-03T02:47:00,2387.99,upi,0.00,0.00,captured,setl_20260707_003
pay_000051,ord_000933,2026-07-02T16:06:00,1499.00,card,29.98,5.40,captured,setl_20260706_002
pay_000052,ord_000934,2026-07-03T11:32:00,1201.99,upi,0.00,0.00,captured,setl_20260707_003
pay_000053,ord_000951,2026-07-03T15:22:00,7798.50,card,155.97,28.07,captured,setl_20260707_003
pay_000054,ord_000962,2026-07-03T04:13:00,54299.99,card,1086.00,195.48,captured,setl_20260707_003
pay_000055,ord_000037,2026-07-04T11:17:00,554.00,card,11.08,1.99,captured,setl_20260708_004
pay_000056,ord_000038,2026-07-03T10:28:00,57817.00,upi,0.00,0.00,captured,setl_20260707_003
pay_000057,ord_000043,2026-07-03T18:23:00,1677.50,card,33.55,6.04,captured,setl_20260707_003
pay_000058,ord_000117,2026-07-03T19:34:00,2940.00,upi,0.00,0.00,captured,setl_20260707_003
pay_000059,ord_000123,2026-07-03T18:15:00,9813.99,card,196.28,35.33,captured,setl_20260707_003
pay_000060,ord_000226,2026-07-04T05:00:00,494.00,upi,0.00,0.00,captured,setl_20260708_004
pay_000061,ord_000238,2026-07-04T03:47:00,14145.00,upi,0.00,0.00,captured,setl_20260708_004
pay_000062,ord_000254,2026-07-03T13:49:00,21226.99,card,424.54,76.42,captured,setl_20260707_003
pay_000063,ord_000256,2026-07-04T04:10:00,44943.00,netbanking,808.97,145.61,captured,setl_20260708_004
pay_000064,ord_000319,2026-07-04T01:43:00,330.00,card,6.60,1.19,captured,setl_20260708_004
pay_000065,ord_000465,2026-07-03T21:28:00,854.00,card,17.08,3.07,captured,setl_20260707_003
pay_000066,ord_000482,2026-07-04T14:10:00,12116.00,upi,0.00,0.00,captured,setl_20260708_004
pay_000067,ord_000606,2026-07-03T23:52:00,69136.50,wallet,1382.73,248.89,captured,setl_20260708_004
pay_000068,ord_000631,2026-07-03T21:07:00,2117.00,card,42.34,7.62,captured,setl_20260707_003
pay_000069,ord_000660,2026-07-03T10:01:00,2201.00,upi,0.00,0.00,captured,setl_20260707_003
pay_000070,ord_000664,2026-07-04T06:39:00,2130.00,upi,0.00,0.00,captured,setl_20260708_004
pay_000071,ord_000713,2026-07-04T09:11:00,313.00,upi,0.00,0.00,captured,setl_20260708_004
pay_000072,ord_000714,2026-07-03T16:26:00,38804.00,upi,0.00,0.00,captured,setl_20260707_003
pay_000073,ord_000753,2026-07-04T09:15:00,6382.00,upi,0.00,0.00,captured,setl_20260708_004
pay_000074,ord_000886,2026-07-03T14:49:00,2488.99,upi,0.00,0.00,captured,setl_20260707_003
pay_000075,ord_000919,2026-07-04T15:00:00,1590.99,card,31.82,5.73,captured,setl_20260708_004
pay_000076,ord_000926,2026-07-03T16:43:00,7735.00,card,154.70,27.85,captured,setl_20260707_003
pay_000077,ord_000935,2026-07-03T15:17:00,5905.00,wallet,118.10,21.26,captured,setl_20260707_003
pay_000078,ord_000944,2026-07-03T23:15:00,4602.99,upi,0.00,0.00,captured,setl_20260708_004
pay_000079,ord_000993,2026-07-03T18:49:00,942.50,card,18.85,3.39,captured,setl_20260707_003
pay_000080,ord_000068,2026-07-05T04:00:00,13133.50,card,262.67,47.28,captured,setl_20260708_005
pay_000081,ord_000110,2026-07-04T20:03:00,43327.00,upi,0.00,0.00,captured,setl_20260708_004
pay_000082,ord_000115,2026-07-04T19:03:00,620.99,card,12.42,2.24,captured,setl_20260708_004
pay_000083,ord_000115,2026-07-04T19:54:00,620.99,upi,0.00,0.00,captured,setl_20260708_004
pay_000084,ord_000273,2026-07-04T19:17:00,22093.00,wallet,441.86,79.53,captured,setl_20260708_004
pay_000085,ord_000339,2026-07-05T03:56:00,2322.00,upi,0.00,0.00,captured,setl_20260708_005
pay_000086,ord_000456,2026-07-05T01:23:00,3197.00,card,63.94,11.51,captured,setl_20260708_005
pay_000087,ord_000508,2026-07-05T10:25:00,2404.00,upi,0.00,0.00,captured,setl_20260708_005
pay_000088,ord_000529,2026-07-05T11:35:00,4630.00,netbanking,83.34,15.00,captured,setl_20260708_005
pay_000089,ord_000555,2026-07-04T11:03:00,2136.99,upi,0.00,0.00,captured,setl_20260708_004
