bank_row_id,txn_date,narration,credit,debit,balance
bank_000057,2026-07-01,RENT-PROPERTY MGMT-1417,0.00,71428.33,4928571.67
bank_000048,2026-07-02,NEFT CR-RIHG797662705115-CUSTOMER DIRECT TRANSFER,847.00,0.00,4929418.67
bank_000001,2026-07-03,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-ROET047742585917-SETTLEMENT,105040.27,0.00,5034458.94
bank_000058,2026-07-03,GST PAYMENT CHALLAN 1565,0.00,127981.68,4906477.26
bank_000002,2026-07-06,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-PXSG238223116491,182872.53,0.00,5089349.79
bank_000059,2026-07-06,UPI/DR/1645/OFFICE SUPPLIES,0.00,11231.30,5078118.49
bank_000003,2026-07-07,IMPS/HHIF457988942565/RAZORPAY SOFTWARE/PAYOUT,210591.15,0.00,5288709.64
bank_000056,2026-07-07,NEFT CR-GWTO429250105875-CUSTOMER DIRECT TRANSFER,44880.00,0.00,5333589.64
bank_000060,2026-07-07,NEFT DR-VENDOR PAYMENT-INV9137,0.00,18716.93,5314872.71
bank_000004,2026-07-08,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-VESX060320203265,191669.67,0.00,5506542.38
bank_000005,2026-07-08,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ASPP539673794871,527156.38,0.00,6033698.76
bank_000006,2026-07-08,IMPS/XIUY855245787158/RAZORPAY SOFTWARE/PAYOUT,407750.42,0.00,6441449.18
bank_000007,2026-07-09,RTGS-ICZL608213711842-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,263871.36,0.00,6705320.54
bank_000061,2026-07-09,SALARY DISBURSAL AUG-9565,0.00,99821.81,6605498.73
bank_000008,2026-07-10,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-LJON818268323035-SETTLEMENT,289060.66,0.00,6894559.39
bank_000046,2026-07-11,NEFT CR-OOKZ677722660256-CUSTOMER DIRECT TRANSFER,1644.50,0.00,6896203.89
bank_000009,2026-07-13,IMPS/QTYE988085838252/RAZORPAY SOFTWARE/PAYOUT,83308.93,0.00,6979512.82
bank_000062,2026-07-13,GST PAYMENT CHALLAN 6850,0.00,76733.50,6902779.32
bank_000010,2026-07-14,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-DVFU932896340646,386219.10,0.00,7288998.42
bank_000063,2026-07-14,GST PAYMENT CHALLAN 2139,0.00,102620.35,7186378.07
bank_000011,2026-07-15,RTGS-QNPO524014843991-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,32568.38,0.00,7218946.45
bank_000012,2026-07-15,NEFT CR-RATN0000088-RAZORPAY SOFTWA,380782.79,0.00,7599729.24
bank_000013,2026-07-15,IMPS/CHIE619237245018/RAZORPAY SOFT,98033.26,0.00,7697762.50
bank_000064,2026-07-15,SALARY DISBURSAL AUG-9596,0.00,184704.85,7513057.65
bank_000014,2026-07-16,NEFT CR-RATN0000088-RAZORPAY SOFTWA,114885.46,0.00,7627943.11
bank_000015,2026-07-17,RTGS-IBMI176927438119-RAZORPAYSOFTW,257817.49,0.00,7885760.60
bank_000065,2026-07-17,NEFT DR-VENDOR PAYMENT-INV9980,0.00,23011.19,7862749.41
bank_000016,2026-07-20,NEFT CR-RATN0000088-RAZORPAY SOFTWA,330413.11,0.00,8193162.52
bank_000055,2026-07-20,NEFT CR-AAUU615727682975-CUSTOMER DIRECT TRANSFER,789.00,0.00,8193951.52
bank_000017,2026-07-21,RTGS-LCAD739739641789-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,59672.45,0.00,8253623.97
bank_000054,2026-07-21,NEFT CR-ZUGT914038843660-CUSTOMER DIRECT TRANSFER,11286.00,0.00,8264909.97
bank_000066,2026-07-21,SALARY DISBURSAL AUG-5272,0.00,121301.48,8143608.49
bank_000018,2026-07-22,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-SMTQ609191911359,226325.59,0.00,8369934.08
bank_000067,2026-07-22,UPI/DR/1396/OFFICE SUPPLIES,0.00,1600.65,8368333.43
bank_000021,2026-07-23,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-OZBK742388565271,799375.56,0.00,9167708.99
bank_000022,2026-07-24,RTGS-KLTR354116597263-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,315319.75,0.00,9483028.74
bank_000019,2026-07-27,RTGS-VWTN605779806603-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,158081.70,0.00,9641110.44
bank_000020,2026-07-27,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-SFAU514607455534,411954.94,0.00,10053065.38
bank_000023,2026-07-27,IMPS/IWPL575225013948/RAZORPAY SOFTWARE/PAYOUT,1095328.82,0.00,11148394.20
bank_000068,2026-07-27,SALARY DISBURSAL AUG-4588,0.00,299519.67,10848874.53
bank_000024,2026-07-28,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-WURJ882691311964-SETTLEMENT,469605.10,0.00,11318479.63
bank_000069,2026-07-28,NEFT DR-VENDOR PAYMENT-INV3255,0.00,91984.03,11226495.60
bank_000025,2026-07-29,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-EWKR562614991537-SETTLEMENT,229068.49,0.00,11455564.09
bank_000026,2026-07-29,NEFT CR-RATN0000088-RAZORPAY SOFTWA,116091.11,0.00,11571655.20
bank_000027,2026-07-29,NEFT-RAZORPAY SOFTWARE PRIVATE LIMI,523540.78,0.00,12095195.98
bank_000070,2026-07-29,RENT-PROPERTY MGMT-7484,0.00,36615.28,12058580.70
bank_000071,2026-07-30,GST PAYMENT CHALLAN 9064,0.00,23944.84,12034635.86
bank_000028,2026-07-31,IMPS/WHZR921878519358/RAZORPAY SOFTWARE/PAYOUT,128597.95,0.00,12163233.81
bank_000029,2026-08-03,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-HOIS079779612087,47557.63,0.00,12210791.44
bank_000030,2026-08-04,IMPS/RUBL721514940976/RAZORPAY SOFTWARE/PAYOUT,386356.02,0.00,12597147.46
bank_000031,2026-08-05,NEFT-RAZORPAY SOFTWARE PRIVATE LIMI,244864.87,0.00,12842012.33
bank_000032,2026-08-05,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-VSKA905911918623-SETTLEMENT,325180.84,0.00,13167193.17
bank_000033,2026-08-05,RTGS-HTYY220715116966-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,130099.11,0.00,13297292.28
bank_000072,2026-08-05,UPI/DR/1589/OFFICE SUPPLIES,0.00,4879.62,13292412.66
bank_000034,2026-08-06,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-MWPE521452647124-SETTLEMENT,528124.53,0.00,13820537.19
bank_000052,2026-08-06,NEFT CR-QDMY295187794176-CUSTOMER DIRECT TRANSFER,278.00,0.00,13820815.19
bank_000073,2026-08-06,RENT-PROPERTY MGMT-1117,0.00,64308.24,13756506.95
bank_000035,2026-08-07,NEFT CR-RATN0000088-RAZORPAY SOFTWA,262354.77,0.00,14018861.72
bank_000050,2026-08-08,NEFT CR-XLZW259710756335-CUSTOMER DIRECT TRANSFER,1353.00,0.00,14020214.72
bank_000036,2026-08-10,NEFT-RAZORPAY SOFTWARE PRIVATE LIMI,547772.84,0.00,14567987.56
bank_000047,2026-08-10,NEFT CR-NZVF292310672453-CUSTOMER DIRECT TRANSFER,1696.00,0.00,14569683.56
bank_000037,2026-08-11,RTGS-UTPF835129592728-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,71619.48,0.00,14641303.04
bank_000074,2026-08-11,NEFT DR-VENDOR PAYMENT-INV7507,0.00,43698.28,14597604.76
bank_000038,2026-08-12,NEFT CR-RATN0000088-RAZORPAY SOFTWA,351841.27,0.00,14949446.03
bank_000039,2026-08-12,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-PGTE957867181535-SETTLEMENT,261980.43,0.00,15211426.46
bank_000040,2026-08-12,NEFT-RAZORPAY SOFTWARE PRIVATE LIMI,170587.45,0.00,15382013.91
bank_000075,2026-08-12,SALARY DISBURSAL AUG-5610,0.00,134136.24,15247877.67
bank_000041,2026-08-13,RTGS-SWRQ683452734666-RAZORPAYSOFTW,389878.60,0.00,15637756.27
bank_000042,2026-08-14,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-MCPA715879647408,481501.83,0.00,16119258.10
bank_000051,2026-08-14,NEFT CR-ZIRK953259399337-CUSTOMER DIRECT TRANSFER,1479.50,0.00,16120737.60
bank_000076,2026-08-14,NEFT DR-VENDOR PAYMENT-INV4302,0.00,50996.35,16069741.25
