refund_id,payment_id,amount,created_at,settlement_id
rfnd_000001,pay_000009,952.33,2026-07-17T20:40:00,setl_20260717_015
rfnd_000002,pay_000012,6920.35,2026-07-03T15:31:00,setl_20260703_001
rfnd_000003,pay_000014,367.73,2026-07-24T16:41:00,setl_20260724_022
rfnd_000004,pay_000027,1108.34,2026-07-11T22:09:00,setl_20260713_009
rfnd_000005,pay_000035,172146.71,2026-07-13T01:48:00,setl_20260713_009
rfnd_000006,pay_000045,265.38,2026-07-23T07:13:00,setl_20260723_021
rfnd_000007,pay_000047,975.65,2026-07-21T04:04:00,setl_20260721_017
rfnd_000008,pay_000061,2220.99,2026-07-10T02:42:00,setl_20260710_008
rfnd_000009,pay_000070,1391.00,2026-07-17T21:13:00,setl_20260717_015
rfnd_000010,pay_000076,1539.06,2026-07-29T10:54:00,setl_20260729_025
rfnd_000011,pay_000091,4354.90,2026-07-18T03:19:00,setl_20260720_016
rfnd_000012,pay_000097,1840.46,2026-07-30T10:41:00,setl_20260730_028
rfnd_000013,pay_000099,4628.36,2026-07-17T05:47:00,setl_20260717_015
rfnd_000014,pay_000112,5373.00,2026-07-08T05:30:00,setl_20260708_004
rfnd_000015,pay_000118,3695.67,2026-07-25T19:09:00,setl_20260727_023
rfnd_000016,pay_000123,307.79,2026-07-30T22:12:00,setl_20260730_028
rfnd_000017,pay_000124,1345.29,2026-07-18T01:08:00,setl_20260720_016
rfnd_000018,pay_000127,1009.00,2026-07-26T14:15:00,setl_20260727_023
rfnd_000019,pay_000129,11746.00,2026-07-23T02:30:00,setl_20260723_021
rfnd_000020,pay_000143,5802.32,2026-07-29T02:55:00,setl_20260729_025
rfnd_000021,pay_000163,735.84,2026-08-02T11:56:00,setl_20260803_030
rfnd_000022,pay_000170,20013.60,2026-07-23T14:42:00,setl_20260723_021
rfnd_000023,pay_000173,294.61,2026-08-02T08:57:00,setl_20260803_030
rfnd_000024,pay_000178,2144.00,2026-07-22T21:38:00,setl_20260722_018
rfnd_000025,pay_000193,2970.27,2026-08-04T19:54:00,setl_20260804_031
rfnd_000026,pay_000201,52394.50,2026-07-25T08:09:00,setl_20260727_023
rfnd_000027,pay_000244,974.00,2026-07-15T08:07:00,setl_20260715_011
rfnd_000028,pay_000261,1865.01,2026-08-02T11:16:00,setl_20260803_030
rfnd_000029,pay_000264,34051.50,2026-07-19T06:15:00,setl_20260720_016
rfnd_000030,pay_000274,678.56,2026-07-20T15:15:00,setl_20260720_016
rfnd_000031,pay_000276,1203.00,2026-07-28T12:21:00,setl_20260728_024
rfnd_000032,pay_000277,41.26,2026-08-01T22:05:00,setl_20260803_030
rfnd_000033,pay_000283,1916.74,2026-07-31T01:17:00,setl_20260731_029
rfnd_000034,pay_000334,2106.50,2026-07-29T11:53:00,setl_20260729_025
rfnd_000035,pay_000337,13013.99,2026-08-01T15:46:00,setl_20260803_030
rfnd_000036,pay_000356,1899.67,2026-07-23T11:43:00,setl_20260723_021
rfnd_000037,pay_000364,1326.86,2026-08-07T12:04:00,setl_20260807_036
rfnd_000038,pay_000370,1373.44,2026-08-11T05:02:00,setl_20260811_038
rfnd_000039,pay_000378,6110.32,2026-08-03T22:46:00,setl_20260803_030
rfnd_000040,pay_000387,6107.70,2026-07-29T15:07:00,setl_20260729_025
rfnd_000041,pay_000393,346.15,2026-08-07T03:30:00,setl_20260807_036
rfnd_000042,pay_000407,4005.30,2026-08-09T09:02:00,setl_20260810_037
rfnd_000043,pay_000422,2388.00,2026-07-31T21:56:00,setl_20260731_029
rfnd_000044,pay_000433,148.07,2026-08-01T06:14:00,setl_20260803_030
rfnd_000045,pay_000435,2230.67,2026-08-01T02:02:00,setl_20260803_030
rfnd_000046,pay_000445,1179.03,2026-08-01T23:42:00,setl_20260803_030
rfnd_000047,pay_000449,2680.96,2026-08-09T17:53:00,setl_20260810_037
rfnd_000048,pay_000460,86930.49,2026-08-11T04:08:00,setl_20260811_038
rfnd_000049,pay_000474,1991.91,2026-07-22T17:32:00,setl_20260722_018
rfnd_000050,pay_000487,14424.87,2026-08-11T09:31:00,setl_20260811_038
rfnd_000051,pay_000494,257.62,2026-08-11T16:11:00,setl_20260811_038
rfnd_000052,pay_000498,6741.24,2026-08-03T11:28:00,setl_20260803_030
rfnd_000053,pay_000502,1571.50,2026-08-05T00:40:00,setl_20260805_032
rfnd_000054,pay_000509,65860.32,2026-08-01T20:19:00,setl_20260803_030
rfnd_000055,pay_000515,775.98,2026-07-27T14:21:00,setl_20260727_023
rfnd_000056,pay_000517,334.08,2026-08-15T14:26:00,setl_20260817_044
rfnd_000057,pay_000530,854.21,2026-08-13T20:51:00,setl_20260813_042
rfnd_000058,pay_000544,3254.75,2026-08-13T09:11:00,setl_20260813_042
rfnd_000059,pay_000552,436.93,2026-08-11T13:25:00,setl_20260811_038
rfnd_000060,pay_000553,1302.48,2026-08-15T16:01:00,setl_20260817_044
rfnd_000061,pay_000556,4136.45,2026-08-16T12:53:00,setl_20260817_044
rfnd_000062,pay_000578,3280.86,2026-08-19T19:44:00,setl_20260819_046
rfnd_000063,pay_000594,7063.80,2026-08-07T08:35:00,setl_20260807_036
rfnd_000064,pay_000595,3834.00,2026-08-01T05:59:00,setl_20260803_030
rfnd_000065,pay_000620,1060.57,2026-08-07T07:34:00,setl_20260807_036
rfnd_000066,pay_000624,8646.00,2026-08-16T11:25:00,setl_20260817_044
rfnd_000067,pay_000632,5824.58,2026-08-02T00:21:00,setl_20260803_030
rfnd_000068,pay_000641,245.32,2026-08-19T16:36:00,setl_20260819_046
rfnd_000069,pay_000644,546.66,2026-08-01T09:56:00,setl_20260803_030
rfnd_000070,pay_000648,65282.99,2026-08-08T10:07:00,setl_20260810_037
rfnd_000071,pay_000653,910.99,2026-08-04T07:31:00,setl_20260804_031
rfnd_000072,pay_000658,6932.00,2026-08-06T17:59:00,setl_20260806_035
rfnd_000073,pay_000668,2024.97,2026-08-22T17:57:00,
rfnd_000074,pay_000681,211.74,2026-08-05T06:17:00,setl_20260805_032
rfnd_000075,pay_000684,13642.99,2026-08-06T13:50:00,setl_20260806_035
rfnd_000076,pay_000695,6563.50,2026-08-13T19:22:00,setl_20260813_042
rfnd_000077,pay_000705,1910.99,2026-08-26T03:49:00,
rfnd_000078,pay_000707,1425.50,2026-08-09T05:27:00,setl_20260810_037
rfnd_000079,pay_000715,216.34,2026-08-15T07:13:00,setl_20260817_044
rfnd_000080,pay_000725,1194.56,2026-08-21T06:10:00,
rfnd_000081,pay_000733,127.48,2026-08-26T12:57:00,
