settlement_id,capture_date,settled_on,utr,gross,fee,tax,refunds,chargebacks,withholding,carry_forward_in,carry_forward_out,net
setl_20260703_001,2026-07-01,2026-07-03,FMLO542625763184,96733.47,222.87,40.12,0.00,0.00,967.33,0.00,0.00,95503.15
setl_20260706_002,2026-07-02,2026-07-06,CYLV669145008594,204664.44,3474.48,625.40,1008.50,0.00,2046.64,0.00,0.00,197509.42
setl_20260707_003,2026-07-03,2026-07-07,OUGU741948274049,276403.99,2495.04,449.10,0.00,0.00,2764.04,0.00,0.00,270695.81
setl_20260708_004,2026-07-04,2026-07-08,IAOS883703999671,48873.00,462.09,83.17,0.00,0.00,488.73,0.00,0.00,47839.01
setl_20260708_005,2026-07-05,2026-07-08,OWMB793061219334,136461.46,2199.82,395.95,0.00,0.00,1364.61,0.00,0.00,132501.08
setl_20260708_006,2026-07-06,2026-07-08,FJIQ393369487791,179422.47,1017.52,183.16,0.00,0.00,1794.22,0.00,0.00,176427.57
setl_20260709_007,2026-07-07,2026-07-09,GBMY877006028139,135993.46,2263.41,407.42,0.00,0.00,1359.93,0.00,0.00,131962.70
setl_20260710_008,2026-07-08,2026-07-10,KMEB770745720802,45709.00,472.16,85.00,0.00,0.00,457.09,0.00,0.00,44694.75
setl_20260713_009,2026-07-09,2026-07-13,JCPW265407485279,197199.46,3426.03,616.69,0.00,0.00,1971.99,0.00,0.00,191184.75
setl_20260714_010,2026-07-10,2026-07-14,MDSM507200332875,183072.43,2203.97,396.72,0.00,0.00,1830.72,0.00,0.00,178641.02
setl_20260715_011,2026-07-11,2026-07-15,JCLY786222335580,218536.46,1595.86,287.26,572.13,0.00,2185.36,0.00,0.00,213895.85
setl_20260715_012,2026-07-12,2026-07-15,UJKO644364709170,661882.98,9801.46,1764.27,0.00,0.00,6618.83,0.00,0.00,643698.42
setl_20260715_013,2026-07-13,2026-07-15,SXIB404763188442,624599.43,2872.11,516.98,0.00,0.00,6245.99,0.00,0.00,614964.35
setl_20260716_014,2026-07-14,2026-07-16,TZFO254348790637,479285.47,1093.58,196.85,1491.15,0.00,4792.85,0.00,0.00,471711.04
setl_20260717_015,2026-07-15,2026-07-17,XMNC983211078890,279970.43,4639.06,835.04,9700.68,0.00,2799.70,0.00,0.00,261995.95
setl_20260720_016,2026-07-16,2026-07-20,KSSR776315119051,160157.95,2332.29,419.82,149641.62,0.00,1601.58,0.00,0.00,6162.64
setl_20260721_017,2026-07-17,2026-07-21,QKVV611029618764,253776.96,4465.43,803.77,0.00,0.00,2537.77,0.00,0.00,245969.99
setl_20260722_018,2026-07-18,2026-07-22,IEVX637120710795,604728.95,9568.04,1722.26,114.69,0.00,6047.29,0.00,0.00,587276.67
setl_20260722_019,2026-07-19,2026-07-22,QNGE705397763364,1211711.45,15830.40,2849.48,0.00,0.00,12117.11,0.00,0.00,1180914.46
setl_20260722_020,2026-07-20,2026-07-22,MRAA420390279615,871680.94,15506.39,2791.15,0.00,0.00,8716.81,0.00,0.00,844666.59
setl_20260723_021,2026-07-21,2026-07-23,XVGL051229285796,560588.43,1806.93,325.24,8801.10,0.00,5605.88,0.00,0.00,544049.28
setl_20260724_022,2026-07-22,2026-07-24,GMWG670239001702,416351.45,6676.63,1201.80,57103.95,0.00,4163.51,0.00,0.00,347205.56
setl_20260727_023,2026-07-23,2026-07-27,CMUA218564851246,64691.49,451.73,81.32,17195.33,0.00,646.91,0.00,0.00,46316.20
setl_20260728_024,2026-07-24,2026-07-28,KFHS453785362267,167555.48,1988.28,357.90,11594.03,0.00,1675.55,0.00,0.00,151939.72
setl_20260729_025,2026-07-25,2026-07-29,YFUH103910182561,158664.46,1101.37,198.25,2189.93,0.00,1586.64,0.00,0.00,153588.27
setl_20260729_026,2026-07-26,2026-07-29,DDOY310044996831,646541.46,9563.70,1721.47,0.00,0.00,6465.41,0.00,0.00,628790.88
setl_20260729_027,2026-07-27,2026-07-29,ZUEO406548406772,362581.49,6784.98,1221.30,0.00,0.00,3625.81,0.00,0.00,350949.40
setl_20260730_028,2026-07-28,2026-07-30,BMHP479947049316,207204.47,3080.68,554.53,29624.93,502.00,2072.04,0.00,0.00,171370.29
setl_20260731_029,2026-07-29,2026-07-31,XVPV215556454565,940967.95,11824.47,2128.40,15549.25,0.00,9409.68,0.00,0.00,902056.15
setl_20260803_030,2026-07-30,2026-08-03,PRWO257002939999,381837.98,5144.00,925.91,332586.17,0.00,3818.38,0.00,0.00,39363.52
setl_20260804_031,2026-07-31,2026-08-04,RHZU348583364768,166982.92,1462.07,263.15,1090.26,0.00,1669.83,0.00,0.00,162497.61
setl_20260805_032,2026-08-01,2026-08-05,MZXX009933301381,395431.46,3037.89,546.81,1786.49,0.00,3954.31,0.00,0.00,386105.96
setl_20260805_033,2026-08-02,2026-08-05,XVIF886102377037,336874.96,830.53,149.50,0.00,0.00,3368.75,0.00,0.00,332526.18
setl_20260805_034,2026-08-03,2026-08-05,HQLO587209294891,295932.97,2208.76,397.58,0.00,0.00,2959.33,0.00,0.00,290367.30
setl_20260806_035,2026-08-04,2026-08-06,SWHU601926369711,581792.94,9527.37,1714.94,117.09,0.00,5817.93,0.00,0.00,564615.61
setl_20260807_036,2026-08-05,2026-08-07,FPEZ719355103115,697179.97,2183.43,393.04,368.71,207.00,6971.80,0.00,0.00,687055.99
setl_20260810_037,2026-08-06,2026-08-10,EDUB881110405387,276582.98,3730.47,671.48,48556.26,0.00,2765.83,0.00,0.00,220858.94
setl_20260811_038,2026-08-07,2026-08-11,JAGN209470698886,136387.95,1539.73,277.15,296.29,0.00,1363.88,0.00,0.00,132910.90
setl_20260812_039,2026-08-08,2026-08-12,XVWX377967401849,84426.96,563.41,101.41,38446.09,0.00,844.27,0.00,0.00,44471.78
setl_20260812_040,2026-08-09,2026-08-12,ITUG417420627205,625490.96,4669.49,840.50,0.00,0.00,6254.91,0.00,0.00,613726.06
setl_20260812_041,2026-08-10,2026-08-12,WGDK424300021113,137170.97,1672.50,301.06,0.00,0.00,1371.71,0.00,0.00,133825.70
setl_20260813_042,2026-08-11,2026-08-13,ULKY688290846079,275603.96,2460.38,442.87,32136.86,0.00,2756.04,0.00,0.00,237807.81
setl_20260814_043,2026-08-12,2026-08-14,XVZC252645875522,619379.47,4523.35,814.19,762.80,0.00,6193.79,0.00,0.00,607085.34
setl_20260817_044,2026-08-13,2026-08-17,LZRW769728924093,139875.43,1089.59,196.12,17617.02,0.00,1398.75,0.00,0.00,119573.95
setl_20260818_045,2026-08-14,2026-08-18,IQVG368554337127,454809.45,6814.73,1226.66,2332.11,0.00,4548.09,0.00,0.00,439887.86
setl_20260819_046,2026-08-15,2026-08-19,VVPL951015003680,37706.49,317.19,57.09,866.51,0.00,377.06,0.00,0.00,36088.64
